番号,国語,英語,数学,理科,社会,GPA
1,52,70,28,61,52,1.28
2,34,50,46,25,51,2.25
3,44,40,11,42,37,1.17
4,53,32,43,53,26,2.81
5,30,28,49,29,43,2.03
6,68,53,42,33,50,3.54
7,18,50,37,62,26,0.67
8,49,51,36,51,31,2.4
9,71,74,70,53,44,3.67
10,34,61,26,59,52,2
11,62,69,47,62,60,2.9
12,93,86,51,63,59,4.54
13,46,65,68,68,53,3.32
14,50,70,45,60,36,3.09
15,46,38,33,19,47,2.05
16,46,71,41,47,66,2.64
17,79,86,50,55,68,3.38
18,33,35,23,44,86,0.11
19,46,70,49,70,34,2.3
20,78,73,46,56,57,2.82
21,39,48,25,43,33,1.79
22,31,34,25,44,41,0.61
23,17,18,36,19,41,1.97
24,31,54,66,37,64,1.65
25,54,60,46,37,40,3.35
