No,hjump,vjump,back,grip,50mrun,ljump
1,51,62,140,43,6.1,420
2,52,68,136,43,6.7,450
3,48,66,184,48,6.6,491
4,43,50,175,53,6.8,532
5,45,58,114,44,6.4,485
6,52,56,138,41,6.6,498
7,54,72,135,42,7.3,517
8,45,61,141,42,6.5,415
9,43,54,153,50,6.2,442
10,46,48,136,46,5.6,340
11,48,59,159,46,6.8,452
12,52,59,161,39,6.6,423
13,48,67,165,44,7.2,596
14,46,59,164,45,6.8,505
15,50,55,149,38,7.2,521
16,50,63,152,43,7,457
17,49,64,153,36,7.4,556
18,51,65,158,42,7.2,518
19,50,69,181,49,6.7,509
20,47,72,149,46,7.1,526
21,51,73,192,54,7.2,557
22,47,68,184,58,7.2,557
23,41,65,128,44,6.4,451
24,43,61,127,44,6.1,390
25,48,64,163,46,6.7,456
