動物名,小さい,中くらい,大きい,夜行性,2本足,4本足,髪を持つ,有蹄類,たてがみ,羽あり,縞あり,狩猟,走る,飛ぶ,泳ぐ,草食性
ハト,1,0,0,0.0,1,0,0,0,0,1,0.0,0,0,1,0,0.5
メンドリ,1,0,0,0.0,1,0,0,0,0,1,0.0,0,0,0,0,0.5
カモ,1,0,0,0.0,1,0,0,0,0,1,0.3,0,0,1,1,0.5
ガチョウ,1,0,0,0.0,1,0,0,0,0,1,0.0,0,0,1,1,0.5
フクロウ,1,0,0,1.0,1,0,0,0,0,1,0.0,1,0,1,0,0.0
タカ,1,0,0,0.0,1,0,0,0,0,1,0.0,1,0,1,0,0.0
ワシ,0,1,0,0.0,1,0,0,0,0,1,0.0,1,0,1,0,0.0
キツネ,0,1,0,0.5,0,1,1,0,0,0,0.0,1,0,0,0,0.0
イヌ,0,1,0,0.0,0,1,1,0,0,0,0.0,0,1,0,0,0.0
オオカミ,0,1,0,1.0,0,1,1,0,1,0,0.0,1,1,0,0,0.0
ネコ,1,0,0,0.5,0,1,1,0,0,0,0.0,1,0,0,0,0.0
トラ,0,0,1,0.5,0,1,1,0,0,0,1.0,1,1,0,0,0.0
ライオン,0,0,1,0.0,0,1,1,0,1,0,0.0,1,1,0,0,0.0
ウマ,0,0,1,0.0,0,1,1,1,1,0,0.0,0,1,0,0,1.0
シマウマ,0,0,1,0.0,0,1,1,1,1,0,1.0,0,1,0,0,1.0
ウシ,0,0,1,0.0,0,1,1,1,0,0,0.0,0,0,0,0,1.0
